manifesto_id,party,election_year,commitment_text,processing_activities,topic_tags,obligation_direction,priority_level,governing_party,manifesto_project_id,source_url,ingested_at,nlp_confidence,manually_reviewed
P2-001,Labour,2019,"We will ensure data protection for NHS and patient information, a highly valuable publicly funded resource that can be used for better diagnosis of conditions and saving lives, while maintaining strict privacy protections.",Health data processing; research data sharing; NHS data governance,health data; NHS; data protection; privacy; research; data sharing,Increases,Secondary,FALSE,51320_201912,https://labour.org.uk/manifesto/2019,16/4/2026,1,TRUE
P2-002,Labour,2019,We will ensure NHS data is not exploited by international technology and pharmaceutical corporations.,Health data processing; commercial data use; NHS data governance,NHS data; tech companies; data exploitation; commercial use; data protection,Increases,Secondary,FALSE,51320_201912,https://labour.org.uk/manifesto/2019,16/4/2026,1,TRUE
P2-003,Labour,2019,Ending the six-month time limit in which the Information Commissioner can prosecute the deliberate destruction of public records.,Records management; data destruction; ICO prosecution powers,ICO; Information Commissioner; prosecution; records destruction; enforcement,Increases,Secondary,FALSE,51320_201912,https://labour.org.uk/manifesto/2019,16/4/2026,1,TRUE
P2-004,Labour,2019,We will take action to address the monopolistic hold the tech giants have on advertising revenues.,Behavioural advertising; data brokerage; platform data use,tech giants; advertising; monopoly; digital markets; data,Increases,Secondary,FALSE,51320_201912,https://labour.org.uk/manifesto/2019,16/4/2026,1,TRUE
P2-005,Liberal Democrats,2019,"Our ambition is for the UK to lead the world in ethical, inclusive new technology, including artificial intelligence.",AI processing; algorithmic systems; ethical AI,AI; ethics; technology; leadership; inclusive AI,Clarifies,Secondary,FALSE,51421_201912,https://www.libdems.org.uk/manifesto/2019,16/4/2026,1,TRUE
P2-006,Liberal Democrats,2019,"Introducing a Lovelace Code of Ethics to ensure the use of personal data and AI is unbiased, transparent and accurate, and to protect individuals' rights with respect to automated decision-making.",Automated decision-making; personal data processing; AI systems,AI ethics; Lovelace Code; personal data; automated decision-making; transparency; bias,Increases,Primary,FALSE,51421_201912,https://www.libdems.org.uk/manifesto/2019,16/4/2026,1,TRUE
P2-007,Liberal Democrats,2019,Immediately halt the use of facial recognition surveillance by the police.,Biometric data processing; facial recognition; police surveillance,facial recognition; biometrics; police; surveillance; halt,Increases,Primary,FALSE,51421_201912,https://www.libdems.org.uk/manifesto/2019,16/4/2026,1,TRUE
P2-008,Liberal Democrats,2019,Make algorithms used by the data companies available for close inspection by regulators acting for democratically elected governments.,Algorithmic processing; platform data use; automated systems,algorithmic transparency; regulators; data companies; inspection; accountability,Increases,Secondary,FALSE,51421_201912,https://www.libdems.org.uk/manifesto/2019,16/4/2026,1,TRUE
P2-009,Liberal Democrats,2019,Convening a citizens' assembly to determine when it is appropriate for the government to use algorithms in decision-making.,Government automated decision-making; algorithmic systems,algorithmic decision-making; government; citizens assembly; accountability; ADM,Clarifies,Secondary,FALSE,51421_201912,https://www.libdems.org.uk/manifesto/2019,16/4/2026,1,TRUE
P2-010,Liberal Democrats,2019,Repeal the immigration exemption in the Data Protection Act.,Immigration data processing; DPA 2018 exemptions; data subject rights,immigration exemption; DPA 2018; data protection; repeal; data subject rights,Increases,Secondary,FALSE,51421_201912,https://www.libdems.org.uk/manifesto/2019,16/4/2026,1,TRUE
P2-011,Conservative,2019,"End the sale of personal data, such as health or tax records, for commercial or other ends.",Health data processing; commercial data sale; public sector data,personal data sale; health data; commercial use; data protection,Increases,Secondary,FALSE,51110_201912,https://www.conservatives.com/manifesto/2019,16/4/2026,1,TRUE
P2-012,Conservative,2019,Introduce a regulatory framework for online harms to ensure social media companies take responsibility for how their platforms are being used.,Platform data processing; online content moderation; user data,online harms; social media; regulatory framework; platform responsibility; Online Safety Act precursor,Increases,Primary,FALSE,51110_201912,https://www.conservatives.com/manifesto/2019,16/4/2026,1,TRUE
P2-013,Labour,2024,Labour will ensure the safe development and use of AI models by introducing binding regulation on the handful of companies developing the most powerful AI models.,AI model development; frontier AI processing; AI governance,AI regulation; binding regulation; frontier AI; AI safety; Labour policy,Increases,Primary,TRUE,51320_202407,https://labour.org.uk/manifesto/2024,16/4/2026,1,TRUE
P2-014,Labour,2024,"We will create a National Data Library to bring together existing research programmes and help deliver data-driven public services, while maintaining strong safeguards and making sure all use of data has the potential to deliver benefits for the UK.",Research data processing; public sector data sharing; data governance,National Data Library; data sharing; public services; research; data-driven; safeguards,Mixed,Primary,TRUE,51320_202407,https://labour.org.uk/manifesto/2024,16/4/2026,1,TRUE
P2-015,Labour,2024,"Labour will build on the Online Safety Act, bringing forward provisions as quickly as possible.",Platform data processing; online safety; children's data,Online Safety Act; implementation; children's safety; platform obligations,Increases,Primary,TRUE,51320_202407,https://labour.org.uk/manifesto/2024,16/4/2026,1,TRUE
P2-016,Labour,2024,"We will ensure our industrial strategy supports the development of the Artificial Intelligence (AI) sector, removes planning barriers to new datacentres, and makes the UK the best place to start and grow an AI company.",AI data processing; datacentre infrastructure; AI development,AI sector; industrial strategy; datacentres; AI company; growth; pro-innovation,Decreases,Secondary,TRUE,51320_202407,https://labour.org.uk/manifesto/2024,16/4/2026,1,TRUE
P2-017,Liberal Democrats,2024,"Create a clear, workable and well-resourced cross-sectoral regulatory framework for artificial intelligence that: promotes innovation while creating certainty for businesses; establishes transparency and accountability for AI systems in the public sector; ensures the use of personal data and AI is unbiased, transparent and accurate, and respects the privacy of innocent people.",AI processing; automated decision-making; personal data in AI; public sector AI,AI regulatory framework; cross-sectoral; transparency; accountability; bias; privacy; Lib Dems,Increases,Primary,FALSE,51421_202407,https://www.libdems.org.uk/manifesto/2024,16/4/2026,1,TRUE
P2-018,Liberal Democrats,2024,Immediately halt the use of live facial recognition surveillance by the police and private companies.,Biometric data processing; facial recognition; live surveillance,facial recognition; live surveillance; police; private companies; halt; biometrics,Increases,Primary,FALSE,51421_202407,https://www.libdems.org.uk/manifesto/2024,16/4/2026,1,TRUE
P2-019,Liberal Democrats,2024,Introducing a legally binding regulatory framework for all forms of biometric surveillance.,Biometric data processing; surveillance; facial recognition; fingerprinting,biometric surveillance; binding framework; regulation; facial recognition; biometrics,Increases,Primary,FALSE,51421_202407,https://www.libdems.org.uk/manifesto/2024,16/4/2026,1,TRUE
P2-020,Liberal Democrats,2024,"Introducing a Digital Bill of Rights to protect everyone's rights online, including the rights to privacy, free expression, and participation without discrimination.",Online data processing; digital rights; privacy; profiling,Digital Bill of Rights; online rights; privacy; discrimination; digital rights,Increases,Primary,FALSE,51421_202407,https://www.libdems.org.uk/manifesto/2024,16/4/2026,1,TRUE
P2-021,Liberal Democrats,2024,Repeal the immigration exemption in the Data Protection Act.,Immigration data processing; DPA 2018 exemptions; data subject rights,immigration exemption; DPA 2018; data protection; repeal; data subject rights,Increases,Secondary,FALSE,51421_202407,https://www.libdems.org.uk/manifesto/2024,16/4/2026,1,TRUE
P2-022,Liberal Democrats,2024,Increasing the Digital Services Tax on social media firms and other tech giants from 2% to 6%.,Platform data processing; digital advertising; tech giant taxation,Digital Services Tax; social media; tech giants; tax; DST,Increases,Secondary,FALSE,51421_202407,https://www.libdems.org.uk/manifesto/2024,16/4/2026,1,TRUE
P2-023,Conservative,2024,"The Digital Bill of Rights will give the public greater control over their data, ensuring UK data protection is as strong as any other regulatory regime in the world.",Personal data processing; data subject rights; data portability,Digital Bill of Rights; data protection; data control; UK GDPR; rights,Increases,Primary,FALSE,51110_202407,https://www.conservatives.com/manifesto/2024,16/4/2026,1,TRUE
P2-024,Conservative,2024,"The rise of AI is transforming many industries and has enormous potential for good, when well regulated.",AI processing; automated systems; AI governance,AI regulation; well-regulated AI; pro-innovation; Conservative AI policy,Clarifies,Secondary,FALSE,51110_202407,https://www.conservatives.com/manifesto/2024,16/4/2026,1,TRUE
P2-025,Conservative,2024,"We will legislate to create new offences for spiking, the creation of sexualised deepfake images and taking intimate images without consent.",Deepfake image processing; intimate images; AI-generated content,deepfakes; intimate images; non-consensual; NCII; AI-generated; new offence,Increases,Primary,FALSE,51110_202407,https://www.conservatives.com/manifesto/2024,16/4/2026,1,TRUE
P2-026,Conservative,2024,"Gig employers that repeatedly breach data protection, employment or tax law will be denied licences to operate.",Employment data processing; data protection compliance; gig economy,data protection breach; gig economy; licence denial; enforcement; employment,Increases,Secondary,FALSE,51110_202407,https://www.conservatives.com/manifesto/2024,16/4/2026,1,TRUE
P2-027,Green,2024,We expect to build on the existing responsibilities set out for social media companies under the Online Safety Act.,Platform data processing; online safety; children's data; content moderation,Online Safety Act; social media; platform obligations; children; Green Party,Increases,Secondary,FALSE,51620_202407,https://www.greenparty.org.uk/manifesto/2024,16/4/2026,1,TRUE
P2-028,Green,2024,"We will legislate to create new offences for spiking, the creation of sexualised deepfake images and taking intimate images without consent.",Deepfake image processing; intimate images; AI-generated content,deepfakes; NCII; intimate images; AI-generated; criminal offence; Green Party,Increases,Primary,FALSE,51620_202407,https://www.greenparty.org.uk/manifesto/2024,16/4/2026,1,TRUE
P2-029,Green,2024,"Back the police, by giving officers new powers and tools to catch criminals, including technology like facial recognition.",Biometric data processing; facial recognition; police surveillance,facial recognition; police; technology; criminal justice; Green Party,Increases,Secondary,FALSE,51620_202407,https://www.greenparty.org.uk/manifesto/2024,16/4/2026,1,TRUE
P2-030,SNP,2024,Our data and privacy must be protected. Surveillance of the public must be limited and those monitoring us held to account.,Personal data processing; public surveillance; data subject rights,privacy; surveillance; data protection; accountability; SNP,Increases,Primary,FALSE,51701_202407,https://www.snp.org/manifesto/2024,16/4/2026,1,TRUE
P2-031,SNP,2024,Review the Online Safety Act.,Platform data processing; online safety; regulatory review,Online Safety Act; review; SNP; online safety,Clarifies,Secondary,FALSE,51701_202407,https://www.snp.org/manifesto/2024,16/4/2026,1,TRUE