budget_id,budget_year,budget_date,item_type,item_description,amount_gbp,yoy_change_pct,yoy_direction,ico_budget_flag,enforcement_signal,source_url,ingested_at,nlp_confidence,manually_reviewed
P3-001,2023,15/3/2023,ICO Allocation,ICO core resource budget from data protection fee income (FY 2022-23). Primary funding source for ICO regulatory operations including enforcement investigations and litigation.,66000000,6.45,Increase,TRUE,0.7,https://ico.org.uk/about-the-ico/who-we-are/how-we-are-funded/,16/4/2026,1,TRUE
P3-002,2023,15/3/2023,ICO grant-in-aid,Grant-in-aid from government to fund ICO's regulation of non-data protection legislation including FOIA and EIR (FY 2022-23).,10298000,35.9,Increase,TRUE,0.55,https://ico.org.uk/about-the-ico/who-we-are/how-we-are-funded/,16/4/2026,1,TRUE
P3-003,2023,15/3/2023,AI regulation investment,Government investment in AI safety and regulation infrastructure. £100m announced to help regulators including ICO build technical AI capabilities (white paper response commitment).,100000000,,New Item,FALSE,0.65,https://www.gov.uk/government/publications/ai-regulation-a-pro-innovation-approach/white-paper,16/4/2026,1,TRUE
P3-004,2023,15/3/2023,AI Safety Institute establishment,Budget allocation to establish the AI Safety Institute (AISI) — initial seed funding to evaluate frontier AI models and build AI safety research capability.,,,New Item,FALSE,0.55,https://www.gov.uk/government/news/uk-to-launch-ai-safety-institute,16/4/2026,1,TRUE
P3-005,2024,6/3/24,DSIT total DEL budget (Spring Budget 2024),Total DSIT Departmental Expenditure Limit for 2024-25 following Spring Budget. Includes R&D investment; AI Safety Institute; digital infrastructure. 6.5% average growth rate from 2023-24.,12700000000,6.5,Increase,FALSE,0.55,https://www.gov.uk/government/publications/spring-budget-2024,16/4/2026,1,TRUE
P3-006,2024,6/3/24,AI upskilling fund — SMEs,New £7.4 million AI upskilling fund pilot to help SMEs develop AI skills and adopt AI technologies (Spring Budget 2024).,7400000,,New Item,FALSE,0.45,https://www.gov.uk/government/publications/spring-budget-2024,16/4/2026,1,TRUE
P3-007,2024,6/3/24,Alan Turing Institute — AI investment,£100 million additional investment in the Alan Turing Institute over five years for AI research in healthcare; environment; defence. Doubled previous commitment.,100000000,,Increase,FALSE,0.5,https://www.gov.uk/government/publications/spring-budget-2024,16/4/2026,1,TRUE
P3-008,2024,6/3/24,AISI budget increase,£6.5 million increase in AI Safety Institute contributions from multiple departments to support frontier AI safety evaluation capability.,6500000,,Increase,FALSE,0.55,https://www.gov.uk/government/publications/dsit-main-estimate-memorandum-2024-to-2025/dsit-main-estimate-memorandum-2024-to-2025,16/4/2026,1,TRUE
P3-009,2024,30/10/2024,DSIT total DEL budget (Autumn Budget 2024),Total DSIT DEL budget for 2025-26 confirmed at Autumn Budget 2024 — £15.1bn including £13.9bn R&D. Represents 6.5% average growth rate from 2023-24.,15100000000,18.9,Increase,FALSE,0.55,https://www.gov.uk/government/publications/autumn-budget-2024,16/4/2026,1,TRUE
P3-010,2024,30/10/2024,ICO Allocation,ICO core resource budget from data protection fee income (FY 2024-25 estimated). Continued growth in fee income reflecting growth in registered data controllers.,70000000,6.06,Increase,TRUE,0.7,https://ico.org.uk/about-the-ico/who-we-are/how-we-are-funded/,16/4/2026,1,TRUE
P3-011,2024,30/10/2024,ICO enforcement cost retention,HM Treasury continued authorisation for ICO to retain specified amounts from Civil Monetary Penalties to cover pre-agreed enforcement and litigation costs. Cap of £7.5m per financial year.,7500000,0,Flat,TRUE,0.8,https://ico.org.uk/about-the-ico/our-information/annual-reports/,16/4/2026,1,TRUE
P3-012,2024,30/10/2024,DSIT digital transformation — shared services,£80 million DSIT investment to transform corporate functions across nine government departments as part of Shared Services Strategy. Includes AI and digital tooling.,80000000,,New Item,FALSE,0.45,https://www.gov.uk/government/publications/autumn-budget-2024,16/4/2026,1,TRUE
P3-013,2024,30/10/2024,AI chips — advanced market commitment,Up to £100 million government advanced market commitment to act as early buyer for next-generation AI chips from UK startups. Subject to due diligence.,100000000,,New Item,FALSE,0.45,https://www.gov.uk/government/news/budget-backs-technology-firms-to-start-up-scale-up-and-stay-in-britain-to-drive-growth-and-national-renewal,16/4/2026,1,TRUE
P3-014,2024,30/10/2024,Innovate UK Growth Catalyst — AI and tech,New £130 million Innovate UK Growth Catalyst scheme offering grants and tailored support for companies at the frontier of science and technology including AI.,130000000,,New Item,FALSE,0.45,https://www.gov.uk/government/publications/autumn-budget-2024,16/4/2026,1,TRUE
P3-015,2025,11/6/25,DSIT R&D budget 2025-26,Total DSIT R&D budget for 2025-26 confirmed at £13.9bn. Part of £20.4bn overall government R&D investment. Includes UKRI (£8.8bn); Horizon Europe; AISI (£66m); ARIA (£184m).,13900000000,9.45,Increase,FALSE,0.55,https://www.gov.uk/government/publications/dsit-research-and-development-rd-allocations-for-20252026,16/4/2026,1,TRUE
P3-016,2025,11/6/25,AISI (AI Security Institute) budget 2025-26,Confirmed £66 million investment in AISI (renamed AI Security Institute) for 2025-26 to evaluate frontier AI models and equip governments with scientific understanding of advanced AI risks.,66000000,914.29,Increase,FALSE,0.65,https://www.gov.uk/government/publications/dsit-research-and-development-rd-allocations-for-20252026,16/4/2026,1,TRUE
P3-017,2025,11/6/25,UKRI AI sector investment 2026-2030,UKRI committed record £1.6 billion over four years (2026-2030) directly targeted at AI sector — largest single UKRI investment area. Includes AI for Science strategy (£137m); DAWN supercomputer upgrade (£36m).,1600000000,,New Item,FALSE,0.5,https://www.gov.uk/government/news/bold-bet-on-ai-to-keep-uk-at-forefront-of-science-and-research-breakthroughs,16/4/2026,1,TRUE
P3-018,2025,26/11/2025,Sovereign AI Unit — DSIT,£500 million Sovereign AI Unit established within DSIT to invest in UK AI national champions; create UK AI assets (data; compute; talent); make UK partner of choice for frontier AI companies.,500000000,,New Item,FALSE,0.5,https://www.gov.uk/government/news/new-package-puts-ai-at-the-heart-of-national-renewal-package,16/4/2026,1,TRUE
P3-019,2025,26/11/2025,AI Growth Zones — infrastructure investment,Dedicated AI Growth Zones (AIGZs) receiving £5m government commitment each to work with local authorities on AI adoption and skills. Expected to unlock £10bn private investment. Locations: Wales (x2); North East England; Oxfordshire.,5000000,,New Item,FALSE,0.4,https://www.gov.uk/government/news/new-package-puts-ai-at-the-heart-of-national-renewal-package,16/4/2026,1,TRUE
P3-020,2025,26/11/2025,PECR fee income — anticipated uplift,Anticipated increase in ICO fee income from PECR enforcement following DUAA 2025 uplift of maximum PECR fine from £500k to £17.5m/4% global turnover. No specific budget line but material enforcement revenue change.,,,Increase,TRUE,0.85,https://www.gov.uk/guidance/data-use-and-access-act-2025-data-protection-and-privacy-changes,16/4/2026,1,TRUE