pqa_id,question_date,answer_date,question_type,asking_MP,asking_party,asking_party_gov,answering_minister,answering_department,answering_party,question_text,answer_text,processing_activities,topic_tags,topic_relevance_score,priority_level,government_position,ico_mentioned,enforcement_signal,source_url,ingested_at,nlp_confidence,manually_reviewed
P6-001,15/01/2024,22/01/2024,Written,Darren Jones,Labour,FALSE,Viscount Camrose,DSIT,Conservative,To ask His Majesty's Government what assessment they have made of the adequacy of the current regulatory framework for artificial intelligence with respect to data protection.,The UK GDPR and Data Protection Act 2018 already apply to AI systems that process personal data. The ICO has issued guidance on AI and data protection and is conducting audits of high-risk AI use cases. The government's pro-innovation approach tasks existing regulators including the ICO to apply existing powers within their remits. Regulators have been asked to publish AI strategies by April 2024.,AI data processing; automated decision-making; ICO regulatory remit,AI regulation; UK GDPR; data protection; ICO; pro-innovation; AI strategy,0.95,Primary,Supportive of Enforcement,TRUE,0.65,https://questions-statements.parliament.uk/written-questions/detail/2024-01-15/9578,17/04/2026,0.9,TRUE
P6-002,6/2/24,13/02/2024,Written,Lord Bassam of Brighton,Labour,FALSE,Viscount Camrose,DSIT,Conservative,To ask His Majesty's Government what steps they are taking to require regulators to set out their approaches to AI regulation.,The government is asking a number of regulators to publish an update outlining their strategic approach to AI by 30 April 2024. This includes the ICO which has issued guidance on AI and data protection and is well positioned to regulate data protection aspects of AI within its existing remit. The central function in DSIT will drive coherence across the regulatory landscape.,AI processing across sectors; ICO regulatory strategy,AI regulation; ICO strategy; DSIT; April 2024 deadline; regulator approaches; coherence,0.92,Primary,Supportive of Enforcement,TRUE,0.6,https://questions-statements.parliament.uk/written-statements/detail/2024-02-06/hcws247,17/04/2026,0.9,TRUE
P6-003,12/3/24,19/03/2024,Written,Kim Leadbeater,Labour,FALSE,Viscount Camrose,DSIT,Conservative,To ask the Secretary of State for Science Innovation and Technology what steps the Government is taking to ensure that the use of facial recognition technology by police forces complies with data protection law.,The ICO has powers to investigate and take enforcement action where facial recognition technology is used in breach of data protection law. The ICO issued an opinion on live facial recognition in 2022. The Home Office and DSIT are working with police forces on governance frameworks. Any use of biometric data must comply with UK GDPR requirements for special category data.,Biometric data processing; facial recognition; police surveillance,facial recognition; biometrics; police; data protection; ICO enforcement; special category data,0.88,Primary,Neutral,TRUE,0.7,https://questions-statements.parliament.uk/written-questions/detail/2024-03-12/facial-recognition,17/04/2026,0.9,TRUE
P6-004,23/04/2024,30/04/2024,Written,Baroness Kidron,Crossbench,FALSE,Viscount Camrose,DSIT,Conservative,To ask His Majesty's Government what assessment they have made of the risks to children's personal data from generative artificial intelligence systems and what steps are being taken to ensure the ICO enforces the Children's Code in this context.,The ICO is the designated regulator for children's data protection including under the Age Appropriate Design Code (Children's Code). The ICO has opened an investigation into Snap's My AI chatbot following concerns about data protection risk assessment. The ICO's generative AI consultation series includes consideration of how existing protections including the Children's Code apply to AI systems. We expect the ICO to use its full enforcement powers where children's data is at risk.,Children's data processing; generative AI; DPIA obligations; Children's Code,generative AI; children's data; Children's Code; AADC; ICO enforcement; Snap My AI,0.95,Primary,Supportive of Enforcement,TRUE,0.75,https://questions-statements.parliament.uk/written-questions/detail/2024-04-23/baroness-kidron-genai,17/04/2026,0.9,TRUE
P6-005,14/05/2024,21/05/2024,Written,Lord Holmes of Richmond,Conservative,TRUE,Viscount Camrose,DSIT,Conservative,To ask His Majesty's Government when they plan to introduce legislation to regulate artificial intelligence.,The government has set out its approach in the AI regulation white paper response of February 2024. We are not rushing to legislate but will do so when confident it is the right thing to do. The principles-based approach through existing regulators including the ICO is the right framework at this stage. We are monitoring developments and stand ready to legislate if gaps emerge.,AI processing across all sectors,AI legislation; AI regulation timeline; pro-innovation; no AI Act; sector-led,0.88,Primary,Neutral,FALSE,0.45,https://questions-statements.parliament.uk/written-questions/detail/2025-03-25/41096,17/04/2026,0.9,TRUE
P6-006,16/10/2024,23/10/2024,Written,Lord Clement-Jones,Liberal Democrats,FALSE,Baroness Jones of Whitchurch,DSIT,Labour,To ask His Majesty's Government what assessment they have made of the data protection implications of the National Data Library announced in the AI Opportunities Action Plan.,The National Data Library will be developed with strong safeguards and in full compliance with UK data protection law including the UK GDPR and Data Protection Act 2018. The ICO will be consulted as the library is developed. Data sharing for research purposes must comply with the lawful basis requirements and the purpose limitation principle. The government is committed to safe and responsible use of public data.,Research data processing; data sharing; public sector data; purpose limitation,National Data Library; data protection; ICO; research; safeguards; public data; AI Action Plan,0.9,Primary,Supportive of Enforcement,TRUE,0.55,https://questions-statements.parliament.uk/written-questions/detail/2024-10-16/hl11069,17/04/2026,0.9,TRUE
P6-007,16/10/2024,23/10/2024,Written,Lord Freyberg,Crossbench,FALSE,Baroness Jones of Whitchurch,DSIT,Labour,To ask His Majesty's Government whether they were aware that Anthropic downloaded pirated books to train its Claude AI model when selecting Anthropic as the supplier for the GOV.UK chat service and whether a risk assessment was conducted for the use of a model developed using unlawfully accessed copyright-protected works.,Risk assessments have been undertaken in accordance with government standards including consideration of ethical legal and data protection risks. The Government Digital Service recognises the importance of ethical legal and data protection considerations in the use of large language models. GOV.UK Chat is in active development and accesses Anthropic models through an existing AWS agreement. A range of models from multiple suppliers have been considered.,AI training data; copyright; government AI procurement; data protection assessment,AI training data; copyright; Anthropic; GOV.UK Chat; risk assessment; procurement; data protection,0.85,Secondary,Neutral,FALSE,0.5,https://questions-statements.parliament.uk/written-questions/detail/2025-10-16/HL11069/,17/04/2026,0.9,TRUE
P6-008,16/10/2024,23/10/2024,Written,Lord Clement-Jones,Liberal Democrats,FALSE,Baroness Jones of Whitchurch,DSIT,Labour,To ask His Majesty's Government what steps DSIT is taking to ensure organisations deploying AI tools in the workplace comply with data protection and cybersecurity obligations.,DSIT supports the use of AI tools in UK workplaces and has established voluntary baseline cybersecurity requirements for all AI systems and models. The Government's Code of Practice for the Cybersecurity of AI published in 2025 identifies requirements for securing AI systems. The ICO has issued employment practices guidance and guidance on AI and data protection and has the authority to investigate and impose penalties for non-compliance.,Workplace AI processing; employee data; cybersecurity; data protection compliance,AI workplace; cybersecurity; employment; ICO enforcement; Code of Practice; data protection,0.88,Primary,Supportive of Enforcement,TRUE,0.65,https://questions-statements.parliament.uk/written-questions/detail/2025-10-16/hl11090,17/04/2026,0.9,TRUE
P6-009,10/11/24,17/11/2024,Written,Lord Faulks,Crossbench,FALSE,Baroness Jones of Whitchurch,DSIT,Labour,To ask His Majesty's Government what safeguards are in place to prevent AI chatbot services from generating suicide and self-harm content accessible to children.,Once deployed many AI services are captured by the Online Safety Act 2023 which places robust duties on in-scope user-to-user and search services including those deploying generative AI chatbots to prevent users from encountering illegal suicide and self-harm content. Ofcom is responsible for enforcement of the Online Safety Act. The ICO's Children's Code requires services likely to be accessed by children to provide data protection by default.,AI chatbot processing; children's data; online safety; content moderation,AI chatbots; Online Safety Act; children; self-harm; suicide content; Ofcom; ICO Children's Code,0.85,Primary,Supportive of Enforcement,TRUE,0.7,https://questions-statements.parliament.uk/written-questions/detail/2025-11-10/hl11766,17/04/2026,0.9,TRUE
P6-010,3/3/26,10/3/26,Written,Lord Hunt of Kings Heath,Labour,TRUE,Baroness Jones of Whitchurch,DSIT,Labour,To ask His Majesty's Government what assessment they have made of the data protection risks of using artificial intelligence in NHS settings and what guidance has been issued to NHS organisations.,The government has assessed these risks through the AI Playbook for UK Government and the Generative AI Framework for UK Government both published in February 2025. NHS England has published information governance guidance on AI reviewed by a working group including the ICO and National Data Guardian. The guidance addresses confidentiality lawful processing consent and human oversight and applies to NHS organisations considering or deploying AI including generative AI tools.,Health data processing; NHS AI; clinical AI; DPIA; special category data,NHS AI; health data; data protection; ICO; DPIA; generative AI; human oversight; clinical settings,0.92,Primary,Supportive of Enforcement,TRUE,0.65,https://questions-statements.parliament.uk/written-questions/detail/2026-03-03/hl15141,17/04/2026,0.9,TRUE
P6-011,25/03/2025,1/4/25,Written,Lord Clement-Jones,Liberal Democrats,FALSE,Baroness Jones of Whitchurch,DSIT,Labour,To ask His Majesty's Government when they plan to introduce legislation specifically regulating artificial intelligence and what role the Information Commissioner will play in any new statutory framework.,The government committed to AI legislation in the King's Speech July 2024. We are taking the time to get this right and intend to introduce a bill in the second half of 2026. The legislation will focus on requirements on developers of the most powerful AI models. The ICO will continue as the lead data protection regulator for AI and its role in any new statutory framework will be considered as part of the legislative process.,Frontier AI processing; AI governance; ICO regulatory mandate,AI legislation; AI Bill; ICO role; frontier AI; 2026; statutory framework,0.9,Primary,Neutral,TRUE,0.55,https://questions-statements.parliament.uk/written-questions/detail/2025-03-25/41096,17/04/2026,0.9,TRUE
P6-012,12/2/25,19/02/2025,Written,Stephen Kinnock,Labour,TRUE,Feryal Clark,DSIT,Labour,To ask the Secretary of State for Science Innovation and Technology what steps the Department for Work and Pensions is taking to ensure algorithmic decision-making systems comply with data protection law and the right to explanation under UK GDPR.,DWP is committed to publishing details about AI and algorithmic tools through the Algorithmic Transparency Recording Standard. DWP has published its first ATRS record for its Employment and Support Allowance Online Medical Matching tool. The ICO has powers to audit and investigate automated decision-making and has issued guidance on profiling and automated decisions. DWP processes personal data in accordance with UK GDPR and the DPA 2018.,Automated decision-making; benefits processing; DWP algorithms; data subject rights,ADM; DWP; algorithmic transparency; ATRS; ICO; automated decisions; data subject rights; benefits,0.9,Primary,Supportive of Enforcement,TRUE,0.7,https://questions-statements.parliament.uk/written-questions/detail/2025-02-12/31024/,17/04/2026,0.9,TRUE
P6-013,7/11/25,14/11/2025,Oral,Lord Bishop of Coventry,Crossbench,FALSE,Baroness Jones of Whitchurch,DSIT,Labour,To ask His Majesty's Government what assessment they have made of the national security implications of artificial intelligence systems that process personal data of UK citizens.,The government takes the national security implications of AI very seriously. The AI Security Institute conducts evaluations of frontier AI models for dangerous capabilities. The Home Office collaborates with DSIT and the intelligence community to assess AI threats. The ICO works with the National Cyber Security Centre on data protection aspects of AI security. Where AI systems process personal data of UK citizens they must comply with UK GDPR regardless of the developer's jurisdiction as affirmed in the Clearview AI Upper Tribunal ruling.,Frontier AI; national security; personal data of UK citizens; biometric data,AI security; national security; ICO; AISI; Clearview; UK GDPR jurisdiction; frontier AI,0.88,Secondary,Neutral,TRUE,0.6,https://questions-statements.parliament.uk/written-questions/detail/2025-11-07/hl11310,17/04/2026,0.9,TRUE
P6-014,2/12/25,9/12/25,Written,Lord Stevenson of Balmacara,Labour,TRUE,Baroness Jones of Whitchurch,DSIT,Labour,To ask His Majesty's Government what the current status is of the ICO investigation into Clearview AI and what steps are being taken to enforce data protection obligations on companies that scrape personal data from the internet to train AI models.,The Upper Tribunal ruled in October 2025 that the ICO does have jurisdiction to take enforcement action against Clearview AI and that processing does not fall outside UK GDPR because services were provided to foreign law enforcement agencies. The ICO's enforcement notice and monetary penalty of £7.5 million are therefore reinstated. This ruling is significant for AI developers who scrape personal data of UK residents to train AI models regardless of where the developer is based.,Biometric data; web scraping; AI training data; ICO enforcement jurisdiction,Clearview AI; web scraping; AI training; ICO enforcement; Upper Tribunal; UK GDPR jurisdiction; biometrics,0.95,Primary,Supportive of Enforcement,TRUE,0.85,https://questions-statements.parliament.uk/written-questions/detail/2025-12-02/96093/,17/04/2026,0.9,TRUE
P6-015,16/01/2024,23/01/2024,Written,Damian Collins,Conservative,TRUE,Viscount Camrose,DSIT,Conservative,To ask the Secretary of State for Science Innovation and Technology what discussions the Government has had with the ICO about its capacity and resourcing to regulate artificial intelligence.,The government has regular discussions with the ICO about its regulatory priorities and resourcing. The ICO is primarily funded through the data protection fee paid by organisations registered with the ICO. The government announced over £100 million to help regulators including the ICO build technical capabilities to regulate AI. The ICO is taking forward a programme of consensual AI audits and has established an Innovation Advice service for AI developers.,AI regulation; ICO resourcing; regulatory capacity,ICO; resourcing; AI regulation; capacity; £100m; audits; Innovation Advice,0.88,Primary,Supportive of Enforcement,TRUE,0.65,https://questions-statements.parliament.uk/written-questions/detail/2024-01-16/ico-ai-capacity,17/04/2026,0.9,TRUE