secondary_id,regulator,action_date,action_type,org_name,org_type,topic_tags,processing_activities,topic_relevance_score,cross_regulator_flag,ico_referral,enforcement_signal,source_url,ingested_at,nlp_confidence,manually_reviewed
R4-001,CMA,18/9/23,Market Study,NA,AI foundation models sector,AI foundation models; competition; market study; big tech; AI governance; digital markets,AI foundation model development; data processing for AI training; market power in data access,0.9,FALSE,FALSE,0.65,https://www.gov.uk/government/publications/ai-foundation-models-initial-report,16/04/2026,1,TRUE
R4-002,CMA,11/4/24,Market Study,NA,AI foundation models sector,AI foundation models; competition; principles; Microsoft; Google; Amazon; cloud; AI partnerships,AI foundation model development; cloud infrastructure; data access and market power,0.9,TRUE,FALSE,0.7,https://www.gov.uk/government/publications/ai-foundation-models-update-report,16/04/2026,1,TRUE
R4-003,CMA,16/1/24,Investigation,Microsoft / OpenAI partnership,Large tech / AI,Microsoft; OpenAI; AI partnership; merger control; foundation models; competition,AI training data access; cloud computing for AI; market power,0.88,FALSE,FALSE,0.65,https://www.gov.uk/cma-cases/microsoft-slash-openai-partnership-merger-inquiry,16/04/2026,1,TRUE
R4-004,CMA,19/12/24,Investigation,Amazon / Anthropic partnership,Large tech / AI,Amazon; Anthropic; AI partnership; cloud; foundation models; competition,AI training data access; cloud infrastructure; model development,0.88,FALSE,FALSE,0.65,Amazon / Anthropic partnership,16/04/2026,1,TRUE
R4-005,CMA,4/8/25,Investigation,Cloud computing providers (Amazon AWS; Microsoft Azure; Google Cloud),Large tech / Cloud,cloud computing; AWS; Azure; Google Cloud; switching costs; market investigation; market power,Cloud infrastructure for AI; data processing at scale; vendor lock-in,0.85,FALSE,FALSE,0.65,https://www.gov.uk/cma-cases/cloud-services-market-investigation,16/04/2026,1,TRUE
R4-006,CMA,18/11/25,Enforcement,Multiple (StubHub; viagogo; AA Driving School; BSM; Gold's Gym; Wayfair; Appliances Direct; Marks Electrical),Consumer / Retail / Ticketing,DMCCA; consumer protection; drip pricing; online pricing; pressure selling; dark patterns; consent,Online consumer data processing; consent for optional charges; pricing transparency,0.7,FALSE,FALSE,0.55,https://www.gov.uk/cma-cases/appliances-direct-consumer-protection-enforcement-case,16/04/2026,1,TRUE
R4-007,CMA,9/3/26,Guidance,NA,All sectors deploying AI agents,agentic AI; consumer law; DMCCA; AI transparency; consumer protection; AI agents,Automated decision-making by AI agents; consumer data use in agentic AI,0.92,TRUE,FALSE,0.7,https://www.gov.uk/government/publications/agentic-ai-and-consumers/agentic-ai-and-consumers,16/04/2026,1,TRUE
R4-008,Ofcom,26/10/23,Guidance,NA,Online platforms; user-to-user services; search services,Online Safety Act; OSA; illegal content; children's safety; age assurance; duty of care,Children's data processing; age assurance; content moderation; platform data processing,0.82,TRUE,FALSE,0.65,https://www.ofcom.org.uk/internet-based-services/network-neutrality/ofcom-revises-net-neutrality-guidance,16/04/2026,1,TRUE
R4-009,Ofcom,17/1/25,Enforcement,NA,Adult content providers (first wave),age assurance; adult content; Online Safety Act; pornography; HEAA; highly effective age assurance,Age verification data processing; children's access assessment,0.82,TRUE,FALSE,0.75,https://www.ofcom.org.uk/online-safety/protecting-children/enforcement-programme-to-protect-children-from-encountering-pornographic-content-through-the-use-of-age-assurance,16/04/2026,1,TRUE
R4-010,Ofcom,8/11/24,Guidance,NA,Generative AI service providers; online platforms,Online Safety Act; generative AI; chatbots; user-to-user services; OSA scope; AI regulation,AI chatbot data processing; user-generated content from AI; children's data on AI platforms,0.92,TRUE,FALSE,0.7,https://www.ofcom.org.uk/online-safety/illegal-and-harmful-content/open-letter-to-uk-online-service-providers-regarding-generative-ai-and-chatbots,16/04/2026,1,TRUE
R4-011,Ofcom,17/3/25,Enforcement,NA,File-sharing and file-storage services,Online Safety Act; CSAM; file sharing; illegal content; perceptual hash-matching; enforcement programme,CSAM detection; user data processing for content moderation; risk assessments,0.75,FALSE,FALSE,0.7,https://www.ofcom.org.uk/online-safety/illegal-and-harmful-content/enforcement-programme-into-measures-being-taken-by-file-sharing-and-file-storage-services-to-prevent-users-from-encountering-or-sharing-child-sexual-abuse-material-csam,16/04/2026,1,TRUE
R4-012,Ofcom,1/8/25,Enforcement,4chan,Social media / Imageboard,4chan; Online Safety Act; illegal content; risk assessment; enforcement; non-compliance; extraterritorial,Content moderation; illegal content risk assessment; user data processing,0.72,FALSE,FALSE,0.65,https://www.ofcom.org.uk/online-safety/illegal-and-harmful-content/investigation-into-4chan-and-its-compliance-with-duties-to-protect-its-users-from-illegal-content,16/04/2026,1,TRUE
R4-013,Ofcom,1/12/25,Enforcement,AVS Group (Belize),Adult content / Pornography,age assurance; adult content; Online Safety Act; Belize; extraterritorial enforcement; HEAA,Age verification data processing; children's access controls,0.78,FALSE,FALSE,0.65,"https://www.ofcom.org.uk/online-safety/protecting-children/ofcom-fines-porn-company-1million-for-not-having-robust-age-checks#:~:text=Ofcom%20has%20today%20fined%20AVS%20Group%20Ltd,for%20failing%20to%20respond%20to%20information%20requests.",16/04/2026,1,TRUE
R4-014,Ofcom,1/12/25,Enforcement,Itai Tech Ltd (Undress.cc),AI / Nudification,Itai Tech; Undress.cc; nudification; age assurance; Online Safety Act; deepfakes; AI-generated intimate images,AI-generated intimate imagery; age verification; children's data protection,0.88,TRUE,FALSE,0.8,https://www.ofcom.org.uk/online-safety/protecting-children/ofcom-fines-nudification-site-50000-for-failing-to-introduce-age-checks,16/04/2026,1,TRUE
R4-015,Ofcom,9/4/24,Guidance,NA,All sectors,Ofcom AI strategy; deepfakes; age assurance; Online Safety Act; DRCF cooperation; agentic AI,AI model processing; age verification; deepfake detection; content moderation,0.88,TRUE,FALSE,0.65,https://www.ofcom.org.uk/about-ofcom/annual-reports-and-plans/ofcoms-strategic-approach-to-ai,16/04/2026,1,TRUE
R4-016,FCA,1/11/23,Guidance,NA,Financial services firms using AI,AI in financial services; FCA; Consumer Duty; algorithmic decision-making; fair treatment; AI governance,AI-driven financial decisions; customer data processing; algorithmic profiling,0.8,TRUE,FALSE,0.6,https://www.fca.org.uk/publications/feedback-statements/fs23-4-artificial-intelligence-and-machine-learning,16/04/2026,1,TRUE
R4-017,FCA,7/2/25,Guidance,NA,Financial services firms,Consumer Duty; AI; customer outcomes; fair value; AI oversight; automated advice,Customer data processing for AI-driven advice; algorithmic decision-making; fair treatment,0.8,TRUE,FALSE,0.65,https://www.fca.org.uk/data/financial-promotions-data-2024,16/04/2026,1,TRUE
R4-018,AI Safety Institute,2/11/23,Guidance,NA,AI developers and deployers; frontier AI,AISI; AI safety; frontier AI; evaluation; red-teaming; safety testing; AI risk,AI model evaluation; training data; model capability assessment,0.85,FALSE,FALSE,0.55,https://www.gov.uk/government/publications/ai-safety-institute-approach-to-evaluations,16/04/2026,1,TRUE
R4-019,AI Safety Institute,21/5/24,Guidance,NA,Foundation model developers,AISI; AI safety testing; pre-deployment evaluation; capability thresholds; AI risk assessment,AI model training and evaluation; dangerous capability assessment,0.85,FALSE,FALSE,0.55,https://www.gov.uk/government/news/global-leaders-agree-to-launch-first-international-network-of-ai-safety-institutes-to-boost-understanding-of-ai,16/04/2026,1,TRUE
R4-020,CMA,1/1/25,Enforcement,NA,Digital markets; strategic market status firms,DMCCA; digital markets; strategic market status; SMS; big tech; competition regime,Data processing by designated platforms; data access obligations; platform data sharing,0.85,FALSE,FALSE,0.65,"https://competitionandmarkets.blog.gov.uk/2025/03/10/our-new-consumer-enforcement-regime/#:~:text=Our%20new%20consumer%20enforcement%20regime,the%20new%20consumer%20protection%20regime.",16/04/2026,1,TRUE