international_id,body,jurisdiction,action_date,action_type,org_name,org_type,penalty_eur,processing_activities,topic_tags,topic_relevance_score,uk_company_involved,gdpr_articles,ico_signal_strength,source_url,ingested_at,nlp_confidence,manually_reviewed
R5-001,Irish DPC,Ireland / EU,22/5/23,Enforcement Decision,Meta Platforms Ireland Limited,Social media / Technology,1200000000,International data transfers; behavioural advertising; social media processing,international transfers; SCCs; Chapter V GDPR; US transfers; Facebook; Meta; EDPB binding decision,0.9,TRUE,GDPR Article 46(1); Article 44,0.7,https://www.dataprotection.ie/en/news-media/press-releases/Data-Protection-Commission-announces-conclusion-of-inquiry-into-Meta-Ireland,16/04/2026,1,TRUE
R5-002,Irish DPC,Ireland / EU,15/9/23,Enforcement Decision,TikTok Technology Limited,Social media / Technology,345000000,Children's data processing; default privacy settings; parental controls; age verification,children's data; default settings; family pairing; GDPR Article 8; children's privacy; TikTok,0.95,TRUE,GDPR Article 5(1)(a); Article 5(1)(c); Article 5(1)(f); Article 6; Article 8; Article 12; Article 13; Article 25,0.9,https://www.dataprotection.ie/en/dpc-guidance/law/decisions-made-under-data-protection-act-2018/Inquiry-into-TikTok-Technology-Limited-September-2023,16/04/2026,1,TRUE
R5-003,Irish DPC,Ireland / EU,19/1/23,Enforcement Decision,WhatsApp Ireland Ltd,Messaging / Technology,5500000,Consent management; terms of service; data sharing; transparency,consent; terms of service; Meta data sharing; transparency; lawful basis,0.8,TRUE,GDPR Article 6; Article 7; Article 12; Article 13,0.6,https://www.dataprotection.ie/en/news-media/data-protection-commission-announces-conclusion-inquiry-whatsapp,16/04/2026,1,TRUE
R5-004,Dutch AP,Netherlands / EU,4/1/24,Enforcement Decision,Uber Technologies Inc.; Uber B.V.,Ride-hailing / Technology,290000000,International data transfers; driver personal data; EU-US transfers,international transfers; EU-US; Chapter V GDPR; Uber; driver data; SCCs; Privacy Shield,0.85,TRUE,GDPR Article 44; Article 46,0.65,https://www.edpb.europa.eu/news/news/2024/dutch-sa-imposes-fine-290-million-euro-uber-because-transfers-drivers-data-us_en,16/04/2026,1,TRUE
R5-005,Irish DPC,Ireland / EU,24/10/24,Enforcement Decision,LinkedIn Ireland Unlimited Company,Professional networking / Technology,310000000,Behavioural advertising; consent management; legitimate interests; profiling,LinkedIn; behavioural advertising; consent; legitimate interests; profiling; ad targeting,0.88,TRUE,GDPR Article 5(1)(a); Article 6(1)(a); Article 6(1)(b); Article 6(1)(f),0.75,https://www.dataprotection.ie/en/news-media/press-releases/irish-data-protection-commission-fines-linkedin-ireland-eu310-million,16/04/2026,1,TRUE
R5-006,Irish DPC,Ireland / EU,17/12/24,Enforcement Decision,Meta Platforms Ireland Limited,Social media / Technology,251000000,Security processing; data breach notification; access token vulnerability,data breach; security; access tokens; Facebook breach 2018; breach notification; Article 33,0.85,TRUE,GDPR Article 5(1)(f); Article 32; Article 33; Article 34,0.7,https://www.dataprotection.ie/en/news-media/press-releases/irish-data-protection-commission-fines-meta-eu251-million,16/04/2026,1,TRUE
R5-007,Italian Garante,Italy / EU,20/12/24,Enforcement Decision,OpenAI (ChatGPT),AI / Technology,15000000,Generative AI; training data; legal basis; age verification; transparency,ChatGPT; generative AI; lawful basis; training data; age verification; transparency; AI enforcement,0.98,TRUE,GDPR Article 5(1)(a); Article 6; Article 8; Article 12; Article 13; Article 17; Article 33,0.85,https://www.reuters.com/technology/italy-fines-openai-15-million-euros-over-privacy-rules-breach-2024-12-20/,16/04/2026,1,TRUE
R5-008,Irish DPC,Ireland / EU,2/5/25,Enforcement Decision,TikTok Technology Limited,Social media / Technology,530000000,International data transfers; transfers to China; transparency; data storage,international transfers; China; Article 46; SCCs; data sovereignty; TikTok; geopolitical risk,0.92,TRUE,GDPR Article 46(1); Article 13(1)(f),0.8,https://www.dataprotection.ie/en/news-media/latest-news/irish-data-protection-commission-fines-tiktok-eu530-million-and-orders-corrective-measures-following,16/04/2026,1,TRUE
R5-009,Dutch AP,Netherlands / EU,3/9/24,Enforcement Decision,Clearview AI Inc.,AI / Facial recognition,30500000,Biometric data processing; web scraping; facial recognition; AI training data,Clearview AI; biometrics; facial recognition; web scraping; AI training; special category data,0.95,TRUE,GDPR Article 5; Article 6; Article 9; Article 14,0.85,https://www.edpb.europa.eu/news/national-news/2024/dutch-supervisory-authority-imposes-fine-clearview-because-illegal-data_en,16/04/2026,1,TRUE
R5-010,EDPB,EU,13/4/23,Binding Opinion,Meta Platforms Ireland Limited (Facebook),Social media / Technology,,International data transfers; US government surveillance; SCCs adequacy,EDPB; binding decision; Art 65; Meta; US transfers; SCCs; Privacy Shield; Schrems II,0.88,TRUE,GDPR Article 46(1); Article 44; Article 65,0.75,https://www.edpb.europa.eu/news/news/2023/12-billion-euro-fine-facebook-result-edpb-binding-decision_en,16/04/2026,1,TRUE
R5-011,EDPB,EU,1/3/24,Guideline,,All sectors / AI developers,,Generative AI; personal data in AI training; data minimisation; purpose limitation,EDPB; ChatGPT task force; AI; generative AI; data protection principles,0.95,,GDPR Article 5; Article 6; Article 9,0.7,https://www.edpb.europa.eu/system/files/2024-10/edpb_guidelines_202401_legitimateinterest_en.pdf,16/04/2026,1,TRUE
R5-012,Irish DPC,Ireland / EU,8/7/24,Enforcement Decision,X (formerly Twitter),Social media / Technology,,AI training data; user data for Grok AI; consent; legitimate interests,X; Twitter; Grok AI; AI training; consent; legitimate interests; suspension proceedings,0.97,TRUE,GDPR Article 6; Article 9; Article 17,0.9,https://www.dataprotection.ie/en/news-media/latest-news/x-grok-ai-2024,16/04/2026,1,TRUE
R5-013,French CNIL,France / EU,3/12/24,Enforcement Decision,Orange SA,Telecommunications,50000000,Email advertising; electronic marketing consent; inbox advertising,PECR equivalent; email advertising; consent; inbox ads; electronic marketing,0.8,FALSE,GDPR Article 5(1)(a); Article 6(1)(a); French CPCE Article L.34-5,0.55,https://www.cnil.fr/en/orange-fined-50-million-euros,16/04/2026,1,TRUE
R5-014,Italian Garante,Italy / EU,15/3/25,Enforcement Decision,Luka Inc. (Replika AI chatbot),AI / Technology,5000000,AI chatbot; lawful basis; children's data; age verification; transparency,Replika; AI chatbot; lawful basis; children's data; age verification; transparency; AI enforcement,0.95,FALSE,GDPR Article 5(1)(a); Article 6; Article 8; Article 12; Article 13,0.75,https://www.edpb.europa.eu/news/national-news/2025/ai-italian-supervisory-authority-fines-company-behind-chatbot-replika_en,16/04/2026,1,TRUE
R5-015,EDPB,EU,23/5/2024,Guideline,,All sectors,,AI and data protection; model training; data minimisation; purpose limitation,EDPB; AI opinion; Article 29 WP; model training; data protection by design,0.95,,GDPR Article 5; Article 6; Article 25,0.7,https://www.edpb.europa.eu/news/news/2024/edpb-opinion-ai-models-gdpr-principles-support-responsible-ai_en,16/04/2026,1,TRUE