drcf_id,publication_date,document_type,participating_bodies,title,processing_activities,topic_tags,topic_relevance_score,ico_lead,enforcement_signal,coordinated_action_flag,source_url,ingested_at,nlp_confidence,manually_reviewed
R6-001,28/4/23,Work Programme,CMA; ICO; Ofcom; FCA,DRCF Workplan 2023/24,All digital processing activities; cross-regulator coordination,workplan; AI governance; children's online safety; online advertising; algorithmic transparency; DRCF priorities,0.8,FALSE,0.5,FALSE,https://www.drcf.org.uk/publications/work-plans/drcf-workplan-202324,16/04/2026,1,TRUE
R6-002,28/4/2023,Report,CMA; ICO; Ofcom; FCA,DRCF Annual Report 2022/23,Cross-regulator digital regulation; AI auditing; age assurance; algorithmic transparency,annual report; algorithmic auditing; age assurance; children's online safety; cross-regulator,0.78,FALSE,0.45,FALSE,https://www.drcf.org.uk/siteassets/drcf/pdf-files/drcf-annual-report-2022-23?v=380461,16/04/2026,1,TRUE
R6-003,17/4/2024,Work Programme,CMA; ICO; Ofcom; FCA,DRCF Workplan 2024/25,All digital processing activities; AI; online safety; digital identity; generative AI,workplan; generative AI; AI fairness; online safety; digital identity; AI and Digital Hub,0.85,FALSE,0.55,FALSE,https://www.drcf.org.uk/publications/work-plans/drcf-workplan-202425,16/04/2026,1,TRUE
R6-004,18/4/2024,Report,CMA; ICO; Ofcom; FCA,DRCF Annual Report 2023/24,AI regulation; cross-regulator coordination; generative AI; age assurance,annual report; AI; generative AI; age assurance; cross-regulator; AI Digital Hub,0.82,FALSE,0.5,FALSE,https://www.drcf.org.uk/siteassets/drcf/pdf-files/drcf-annual-report-2023_24?v=383901,16/04/2026,1,TRUE
R6-005,15/4/2024,Joint Statement,CMA; ICO; Ofcom; FCA,Fairness in AI: A View from the DRCF,AI fairness; algorithmic bias; automated decision-making; data protection; consumer protection,AI fairness; bias; discrimination; protected characteristics; fairness principles; DRCF; cross-regulator AI,0.92,FALSE,0.65,FALSE,https://www.drcf.org.uk/publications/blogs/fairness-in-ai-a-view-from-the-drcf,16/04/2026,1,TRUE
R6-006,22/4/2024,Work Programme,CMA; ICO; Ofcom; FCA,DRCF AI and Digital Hub launch,AI innovation support; regulatory compliance for AI; cross-regulator AI advice,AI and Digital Hub; innovation support; regulatory advice; cross-regulator; generative AI; startup,0.85,FALSE,0.55,FALSE,https://www.drcf.org.uk/news-and-events/news/drcf-ai-and-digital-hub-launched-to-support-innovation-and-enable-economic-growth2,16/04/2026,1,TRUE
R6-007,9/7/24,Report,CMA; ICO; Ofcom; FCA,Consumer use and understanding of generative AI,Generative AI consumer processing; consumer data in AI; AI-driven advice; financial AI,generative AI; consumer understanding; AI literacy; consumer risk; AI in financial advice,0.88,FALSE,0.55,FALSE,https://www.drcf.org.uk/news-and-events/news/new-report-on-consumer-use-and-understanding-of-generative-ai,16/04/2026,1,TRUE
R6-008,16/7/2024,Report,ICO; FCA,ICO-FCA paper on consumer attitudes towards digital assets,Digital asset data processing; consumer financial data; crypto; open finance,digital assets; crypto; open finance; consumer attitudes; ICO-FCA collaboration; financial data,0.78,TRUE,0.55,FALSE,https://www.drcf.org.uk/publications/papers/consumer-attitudes-on-the-risks-and-benefits-of-engaging-with-digital-assets,16/04/2026,1,TRUE
R6-009,28/1/2025,Report,CMA; ICO; Ofcom; FCA,AI Assurance: Highlighting opportunities across DRCF regulatory regimes,AI assurance; AI auditing; algorithmic testing; compliance verification,AI assurance; AI auditing; third-party assurance; benchmarking; regulatory compliance; AI standards,0.9,FALSE,0.6,FALSE,https://www.drcf.org.uk/publications/blogs/ai-assurance-highlighting-opportunities-across-drcf-regulatory-regimes,16/04/2026,1,TRUE
R6-010,17/7/2025,Report,ICO; FCA,The Future of Open Finance and Smart Data: Joint Insights from the FCA and ICO,Open finance data processing; smart data; consumer financial data; data portability,open finance; smart data; data portability; DUAA; consumer financial data; ICO-FCA,0.8,TRUE,0.55,FALSE,https://www.drcf.org.uk/publications/blogs/the-future-of-open-finance-and-smart-data-joint-insights-from-the-fca-and-ico,16/04/2026,1,TRUE
R6-011,5/8/25,Work Programme,CMA; ICO; Ofcom; FCA,DRCF Workplan 2025/26,All digital processing activities; agentic AI; synthetic media; cybersecurity; open finance,workplan; agentic AI; synthetic media; deepfakes; cybersecurity; open finance; digital regulatory library,0.88,FALSE,0.6,FALSE,https://www.drcf.org.uk/siteassets/drcf/pdf-files/drcf-workplan-2025_26.pdf?v=395939,16/04/2026,1,TRUE
R6-012,5/8/25,Report,CMA; ICO; Ofcom; FCA,DRCF Annual Report 2024/25,AI regulation; agentic AI; AI and Digital Hub; cross-regulator coordination,annual report; agentic AI; AI Digital Hub; AI assurance; synthetic media; cross-regulator,0.85,FALSE,0.55,FALSE,https://www.drcf.org.uk/siteassets/drcf/pdf-files/drcf-annual-report-202425.pdf?v=399831,16/04/2026,1,TRUE
R6-013,10/10/25,Call for Evidence,CMA; ICO; Ofcom; FCA,Call for Views: Agentic AI and Regulatory Challenges,Agentic AI processing; autonomous AI decision-making; AI agents; automated action,agentic AI; autonomous AI; call for views; regulatory challenges; cross-regulator; Thematic Innovation Hub,0.95,FALSE,0.7,FALSE,https://www.drcf.org.uk/news-and-events/news/call-for-views-agentic-ai-and-regulatory-challenges,16/04/2026,1,TRUE
R6-014,24/10/2025,Report,CMA; ICO; Ofcom; FCA,DRCF Future of Cybersecurity and Emerging Technologies,Cybersecurity data processing; AI security; critical infrastructure data,cybersecurity; emerging technologies; AI security; resilience; horizon scanning; DRCF,0.78,FALSE,0.5,FALSE,https://www.drcf.org.uk/news-and-events/events/drcf-future-of-cybersecurity-and-emerging-technologies-october-2025,16/04/2026,1,TRUE
R6-015,26/11/2024,Report,CMA; ICO; Ofcom; FCA,The Future of Synthetic Media,Synthetic media processing; deepfakes; AI-generated content; age assurance for synthetic content,synthetic media; deepfakes; AI-generated content; NCII; non-consensual intimate images; children's safety,0.9,FALSE,0.65,TRUE,https://www.google.com/search?q=The+Future+of+Synthetic+Media+2025&sca_esv=27fdc1d65c2ac978&sxsrf=ANbL-n7oibDUuZoYEVJ1b3rwiGiH3B6MlA%3A1776434981797&ei=JT_iaaelMOS1hbIPwrTMmQE&ved=0ahUKEwjny7mAiPWTAxXkWkEAHUIaMxMQ4dUDCBE&uact=5&oq=The+Future+of+Synthetic+Media+2025&gs_lp=Egxnd3Mtd2l6LXNlcnAiIlRoZSBGdXR1cmUgb2YgU3ludGhldGljIE1lZGlhIDIwMjUyBRAhGKABMgUQIRigATIFECEYoAEyBRAhGKABSL8OUKoEWMYNcAJ4AJABAJgBuwOgAbALqgEJMi4yLjEuMS4xuAEDyAEA-AEBmAIIoALuCsICChAAGEcY1gQYsAPCAgYQABgWGB7CAgsQABiABBiKBRiGA8ICBRAAGO8FwgIIEAAYgAQYogSYAwCIBgGQBgiSBwk0LjEuMS4xLjGgB8cbsgcJMi4xLjEuMS4xuAfkCsIHBTAuNi4yyAcUgAgB&sclient=gws-wiz-serp,16/04/2026,1,TRUE
R6-016,31/3/2026,Work Programme,CMA; ICO; Ofcom; FCA,DRCF Thematic Innovation Hub: Agentic AI foresight paper and next steps,Agentic AI processing; automated AI actions; AI agent data use; agentic systems,agentic AI; foresight paper; Thematic Innovation Hub; regulatory guidance; cross-regulator; consumer protection,0.95,FALSE,0.7,TRUE,https://www.drcf.org.uk/siteassets/drcf/pdf-files/drcf-the-future-of-agentic-ai-foresight-paper.pdf?v=415481,16/04/2026,1,TRUE